accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE311502,"A 3’UTR-derived small RNA modulates the life-cycle of the cholera toxin-encoding filamentous phage, CTXϕ [RNA-Seq]",Vibrio cholerae,6,2025/12/03,False,Expression profiling by high throughput sequencing,"Bacteriophages (phages) are well known to be one of the major driving forces in bacterial evolution. This is also true for virulent microorganisms, such as the major human pathogen Vibrio cholerae, whose pathogenic potential and epidemic proliferation largely depends on the interaction with environmental phages. Specifically, integration of the CTXϕ phage genome into the first chromosome of V. cholerae also involved the ctxAB genes, encoding the principle toxin responsible for the severe acute diarrheal disease, cholera. Whereas the mechanisms underlying CTXϕ-associated horizontal gene transfer and control of the ctxAB genes have been intensively studied over the past years, post-transcriptional regulation affecting the CTXϕ lifecycle has not been documented. Here, we report the discovery and characterization of the CisR small RNA (sRNA) that is produced from the 3’UTR (untranslated region) of the prtV gene and inhibits the expression of the CTXϕ-encoded cep mRNA. CisR-mediated repression of cep involves Hfq-assisted base-pairing of the two transcripts and results in reduced CTXϕ production under stress conditions. We further show that transcription of prtV-cisR requires both, the master quorum sensing transcription factor HapR, as well CRP, which coordinates global carbon metabolism. Taken together, our work provides evidence that V. cholerae employs sRNA-mediated post-transcriptional gene regulation to coordinate CTXϕ activation with both cell density and nutrient availability.",Vibrio cholerae[organism]
GSE310630,Raw RNA-seq data of wild type and overexpression lines for the rice gene OsDOF3.,Oryza sativa,6,2025/11/30,False,Expression profiling by high throughput sequencing,"Crop production is persistently threatened by a multitude of destructive diseases. In rice, the Ca2+ sensor RESISTANCE OF RICE TO DISEASES1 (ROD1) is a key regulator of defense against major pathogens, including those causing blast, sheath blight, and bacterial blight. However, the molecular mechanisms underlying ROD1-mediated immune suppression remain largely elusive. Here, we characterize an immune signalling cascade comprising the B3-domain transcription factor OsVAL2, the DOF transcription factor OsDOF3, as well as their downstream target OsCSE encoding a caffeoyl shikimate esterase. We demonstrate that the OsVAL2-OsDOF3-OsCSE module promotes lignin deposition and cell wall fortification to confer broad-spectrum disease resistance. ROD1 interacts with and sequesters OsVAL2 in the cytoplasm, thereby preventing its nuclear translocation and subsequent initiation of this immune program. Our findings reveal a spatiotemporal regulatory mechanism that maintains immune homeostasis, highlighting the crucial role of cell wall remodelling in crop disease resistance.",Oryza sativa[organism] AND bacterial blight
GSE310631,Raw RNA-seq data of overexpression and knockout mutant lines for the rice gene OsVAL2.,Oryza sativa,6,2025/11/30,False,Expression profiling by high throughput sequencing,"Crop production is persistently threatened by a multitude of destructive diseases. In rice, the Ca2+ sensor RESISTANCE OF RICE TO DISEASES1 (ROD1) is a key regulator of defense against major pathogens, including those causing blast, sheath blight, and bacterial blight. However, the molecular mechanisms underlying ROD1-mediated immune suppression remain largely elusive. Here, we characterize an immune signalling cascade comprising the B3-domain transcription factor OsVAL2, the DOF transcription factor OsDOF3, as well as their downstream target OsCSE encoding a caffeoyl shikimate esterase. We demonstrate that the OsVAL2-OsDOF3-OsCSE module promotes lignin deposition and cell wall fortification to confer broad-spectrum disease resistance. ROD1 interacts with and sequesters OsVAL2 in the cytoplasm, thereby preventing its nuclear translocation and subsequent initiation of this immune program. Our findings reveal a spatiotemporal regulatory mechanism that maintains immune homeostasis, highlighting the crucial role of cell wall remodelling in crop disease resistance.",Oryza sativa[organism] AND bacterial blight
GSE310654,A mutation mimicking post-translational acetylation of CRP at Lysine 52 creates a multitude of novel binding sites that activate transcription,Vibrio cholerae,42,2025/11/28,False,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,"As a model in the field of bacterial transcription, the structure and function of the cAMP receptor protein (CRP), a global transcription factor, has been exhaustively studied. These studies have demonstrated three contacts between CRP and RNA polymerase, of which only two were thought to activate transcription in the wild-type protein. Here we provide evidence that post-transcriptional acetylation of V. cholerae CRP engages activating region 3 leading to the hundreds of novel CRP binding sites that activate transcription of genes involved in uptake and catabolism of specific carbon sources, virulence, and biofilm formation. This establishes CRP activating region 3 as a critical mediator of association both with DNA and RNA polymerase in WT CRP.",Vibrio cholerae[organism]
GSE310692,The Phosphate-Specific Transport System Gene pstA1 Contributes to Rifampin Tolerance in Mycobacterium tuberculosis,Mycobacterium tuberculosis H37Rv,18,2025/11/27,False,Expression profiling by high throughput sequencing,"This study investigates the role of the phosphate-specific transport system gene pstA1 in rifampin tolerance in Mycobacterium tuberculosis. We constructed a pstA1 deletion mutant (ΔpstA1) and demonstrated that it exhibits enhanced rifampin susceptibility compared to wild-type H37Rv. To explore the molecular mechanisms underlying this phenotype, we performed RNA-seq transcriptomic analysis comparing wild-type and ΔpstA1 strains grown in standard Middlebrook 7H9 broth under exposure to sub-inhibitory rifampin (7.5 ng/ml, 1/4 MIC) for 30 or 60 minutes. The analysis revealed substantial transcriptional reprogramming in ΔpstA1, providing insights into how loss of PstA1 function leads to increased rifampin susceptibility.",Mycobacterium tuberculosis[organism] AND RNA-seq
GSE310227,Multi-drug tolerance in Leishmania persister-like cells,Leishmania donovani,22,2025/11/22,False,Expression profiling by high throughput sequencing,"Leishmaniasis is caused by parasitic protozoa of the genus Leishmania and is found widely across the tropics and sub-tropics, afflicting hundreds of thousands of people. The disease is notoriously difficult to treat. Here, we present evidence of the existence of persister-like cells in cultured Leishmania populations, induced upon exposure to normally lethal doses of antimony, a widely used anti-leishmanial. Persisters are a small fraction of non-proliferative cells with reduced metabolism that are adapted to withstand a variety of environmental assaults, including lethal doses of antimicrobials. We show that Leishmania persister-like cells survive lethal doses of antimonials by adopting a quiescence phenotype characterised by reduced proliferation, constrained metabolism, and diminished mitochondrial membrane potential. What is more, these cells demonstrate cross-tolerance to other anti-leishmanial drugs. Wild-type persister-like cells reverted to similar levels of drug susceptibility once the antimony-induced pressure was removed. Surprisingly, cells which had previously been selected for genetic changes causing resistance to antimony acquired a level of hyper-resistance after transient passage through the quiescent state, without further genetic change. Our results demonstrate the extreme versatility of this eukaryotic pathogen in adaptation to drug pressure and highlight the need for the development of new anti-leishmanials targeting non-proliferative forms.",Leishmania donovani[organism]
GSE299952,Highly-conserved lncRNAs regulates the BRCA1 locus under broad-stress responses [RNA-Seq],Homo sapiens,6,2025/10/01,False,Expression profiling by high throughput sequencing,"RNA polymerase II inhibition triggers a cellular stress response that paradoxically leads to the overexpression of certain transcripts. To investigate the underlying mechanism, we conducted genome-wide assays in human cells treated with triptolide, which disrupts the translocase/DNA helicase activity of XPB, part of TFIIH. Our analysis revealed that XPB activity-independent transcription of genes originate from thermodynamically unstable promoters. Among the upregulated genes, we identified three novel regulatory lncRNAs—TILR-1, TILR-2, and LINC00910 that are highly conserved among primates. Their expression is interdependent, and together, they regulate the nearby BRCA1 locus transcription. We observed that this network of transcripts is also activated in other stress responses, like heat shock and arsenic. We suggest that the BRCA1 locus and its lncRNAs regulators are part of a transcriptional switch that respond to broad stress conditions.",arsenic AND human AND gene expression
GSE299949,Highly-conserved lncRNAs regulates the BRCA1 locus under broad-stress responses [PRO-seq],Homo sapiens,8,2025/10/01,False,Other,"RNA polymerase II inhibition triggers a cellular stress response that paradoxically leads to the overexpression of certain transcripts. To investigate the underlying mechanism, we conducted genome-wide assays in human cells treated with triptolide, which disrupts the translocase/DNA helicase activity of XPB, part of TFIIH. Our analysis revealed that XPB activity-independent transcription of genes originate from thermodynamically unstable promoters. Among the upregulated genes, we identified three novel regulatory lncRNAs—TILR-1, TILR-2, and LINC00910 that are highly conserved among primates. Their expression is interdependent, and together, they regulate the nearby BRCA1 locus transcription. We observed that this network of transcripts is also activated in other stress responses, like heat shock and arsenic. We suggest that the BRCA1 locus and its lncRNAs regulators are part of a transcriptional switch that respond to broad stress conditions.",arsenic AND human AND gene expression
GSE297253,RNA-seq analysis of various strains of Mycobacterium tuberculosis under glycerol and acetate at acidic Ph,Mycobacterium tuberculosis,6,2025/08/15,False,Expression profiling by high throughput sequencing,"We have performred RNA-seq analysis of WT under gycerol and acetate at acidic pH to investigate the role of PhoP in maintaning the pH homoeostasis of bacterium. RNA was extracted from exponentially growing mycobacterial cells in Middlebrook 7H9 media. For acid stress, cells at OD600 of 0.6 were pelleted, washed twice with 7H9 medium buffered with 100 mM MOPS or 2N HCl for pH 7.0 or pH 4.5, respectively, re-suspended in media of indicated pH, and finally the cells were grown further for 2 hours at 37°C. After incubation cells were combined with 40 ml of 5 M guanidinium thiocyanate solution containing 1% β-mercaptoethanol and 0.5% Tween 80. Cells were pelleted by centrifugation, and lysed by re-suspending in 1 ml Trizol (Ambion) in the presence of Lysing Matrix B (100 µm silica beads; MP Bio) using a FastPrep-24 bead beater (MP Bio) at a speed setting of 6.0 for 30 seconds. The procedure was repeated for 2-3 cycles with incubation on ice in between pulses. Next, cell lysates were centrifuged at 13000 rpm for 10 minutes; supernatant was collected and processed for RNA isolation using Direct-ZolTM RNA isolation kit (ZYMO) as per manufacturer’s recommendation. Following extraction, RNA was treated with DNAse I (Promega) to degrade contaminating DNA, and integrity was assessed using a Nanodrop (ND-1000, Spectrophotometer). RNA samples were further checked for intactness of 23S and 16S rRNA using formaldehyde-agarose gel electrophoresis, and Qubit fluoremeter (Invitrogen). RNA integrity was checked using Agilent 2200 Tape Station system (Agilent Technologies). Library construction, RNA-sequencing and data analysis have been carried out by Medgenome Labs Private Limited , India. The main purpose of this study is to understand how mycobacteria can sense acidic stress conditions and mount an appropriate stress response.",Mycobacterium tuberculosis[organism] AND RNA-seq
GSE298381,RNA-seq analysis of 2851 Knockdown with and without ATC,Mycobacterium tuberculosis,6,2025/08/15,False,Expression profiling by high throughput sequencing,"We have performred RNA-seq analysis of 2851 Knockdown to investigate the role of this gene in maintaning the homoeostasis of bacterium. RNA was extracted from exponentially growing mycobacterial cells in Middlebrook 7H9 media. For cells with ATC and without ATC, re-suspended in media , and finally the cells were grown further for 0.4-0.6OD at 37°C. After incubation cells were combined with 40 ml of 5 M guanidinium thiocyanate solution containing 1% β-mercaptoethanol and 0.5% Tween 80. Cells were pelleted by centrifugation, and lysed by re-suspending in 1 ml Trizol (Ambion) in the presence of Lysing Matrix B (100 µm silica beads; MP Bio) using a FastPrep-24 bead beater (MP Bio) at a speed setting of 6.0 for 30 seconds. The procedure was repeated for 2-3 cycles with incubation on ice in between pulses. Next, cell lysates were centrifuged at 13000 rpm for 10 minutes; supernatant was collected and processed for RNA isolation using Direct-ZolTM RNA isolation kit (ZYMO) as per manufacturer’s recommendation. Following extraction, RNA was treated with DNAse I (Promega) to degrade contaminating DNA, and integrity was assessed using a Nanodrop (ND-1000, Spectrophotometer). RNA samples were further checked for intactness of 23S and 16S rRNA using formaldehyde-agarose gel electrophoresis, and Qubit fluoremeter (Invitrogen). RNA integrity was checked using Agilent 2200 Tape Station system (Agilent Technologies). Library construction, RNA-sequencing and data analysis have been carried out by Medgenome Labs Private Limited , India. The main purpose of this study is to understand how mycobacteria can sense acidic stress conditions and mount an appropriate stress response.",Mycobacterium tuberculosis[organism] AND RNA-seq
GSE275802,V. cholerae transcriptome of WT and rluB deletion mutant with sub-MIC tobramycin,Vibrio cholerae,6,2025/08/03,False,Expression profiling by high throughput sequencing,We study gene expression levels of V. cholerae N16961 hapR+ corrected strain in exponential phase with tobramycin.,Vibrio cholerae[organism]
GSE202652,Transcriptomic analyses reveal carbon dot-based seed priming in regulation of root growth in rice,Oryza sativa,8,2025/05/10,False,Expression profiling by high throughput sequencing,"Carbon dots (CDs) can affect plant growth and disease resistance and assist siRNA/DNA delivery. Salvia miltiorrhiza-Derived Carbon Dots were recently found to facilitate plants to adapt to environmental stresses through amplifying Ca2+ signaling and scavenging reactive oxygen species (ROS). More importantly, CDs can be degraded into CO2 and H2O within plant cells, thereby having fewer biosafety issues as compared to those undegradable ones and receiving more attentions in the plant community. However, the molecular mechanisms underlying effects of CD priming on plant growth and development have not been well characterized. In this study, we conducted transcriptomic assays and aim to reveal how CD priming affect root development through transcriptional reprogramming in rice.",Oryza sativa[organism] AND stress
GSE282986,Rice B2 and B3 RAFs play central roles in both ABA and osmotic stress signaling,Oryza sativa Japonica Group,12,2025/05/06,False,Expression profiling by high throughput sequencing,"Rice (Oryza sativa L.) is one of the most important crops worldwide. In the field, rice always faces low humidity, salinity, or drought in various growth stages, which largely limit seedling growth, tillering, filling, and yield of rice. Here, we generated B RAF high-order mutants by CRISPR/Cas9 mediated genome editing. By RNA-seq analysis, we found rice B2 and B3 RAFs play central roles in osmotic stress responses, the mannitol-induced expression genes are largely impaired. Our findings uncovered the central role of B2 and B3 RAFs in rice's osmotic stress responses and ABA signaling.",Oryza sativa[organism] AND stress
GSE292776,Transcriptome analysis of bacterial blight susceptible and resistant rice lines,Oryza sativa,12,2025/04/30,False,Expression profiling by array,"Rice-Xanthomonas oryzae is an economically important pathosystem owing to the loss caused by bacterial blight disease. Understanding the moleulcar dynbamics that occur during rice-Xoo interaction is crucial for understanding disaease susceptible and resistance mechanisms. SM210, harbors the resistance alleles xa5, xa13, and Xa21 and is resistant against Xoo. Transcriptome analysis of Xoo-treated. SM210 and SM, its parent variety, indicated different pathways that are altered in these varieties after Xoo treatment.",Oryza sativa[organism] AND bacterial blight
GSE261335,Gene signature of regulatory T cells isolated from children with Selective IgA Deficiency and Common Variable Immunodeficiency.,Homo sapiens,37,2025/02/23,False,Expression profiling by array,"In our study we aimed to analyze the gene expression profile of Treg cells in CVID and SIgAD patients, compared to age-matched healthy controls. Selective IgA deficiency (SIgAD) is the most common and common variable immunodeficiency (CVID) is the most symptomatic form of predominant antibody deficiency. Despite differences in the clinical picture, a similar genetic background is suggested. A common feature of both disorders is the occurrence of autoimmune conditions. Regulatory T cells (Tregs) are the major immune cell type that maintains autoimmune tolerance. As the different types of abnormalities of Treg cells were associated with autoimmune disorders in primary immunodeficiency (PID) patients, in our study we aimed to analyze the gene expression profile of Treg cells in CVID and SIgAD patients, compared to age-matched healthy controls. The transcriptome-wide gene profiling was performed using microarray technology. As a results, we analyzed and visualized global expression patterns of genes and pathways of isolated population of Treg cells. We showed the differences at gene-level between patients with and without autoimmunizations. Our finding suggest that gene signature of Treg cells isolated from SIgAD and CVID patients differ from age-matched healthy controls and form each other, while the occurrence of autoimmunity in both PID is associated with IFN signaling pathway. In sum, our findings improve our understanding of Treg dysfunctions in patients with common PIDs and associated autoimmunity.",malnutrition AND child AND transcriptome
GSE288598,Transcriptomic Profiling of Efflux Pump Genes in Mycobacterium tuberculosis Under Linezolid Stress,Mycobacterium tuberculosis,6,2025/02/20,False,Expression profiling by high throughput sequencing,"In this study, we investigated the role of efflux pump genes in linezolid resistance. M. tuberculosis H37Rv cultures were exposed to sub-inhibitory concentrations of linezolid (¼ MIC) for 24 hours, and transcriptomic analysis was performed to identify upregulated genes. Of the 120 genes involved in cell wall processes, 9/120 (7.5%) were efflux pump genes, primarily belonging to the ATP-binding cassette (ABC), major facilitator superfamily (MFS), resistance nodulation division (RND), and small multidrug resistance (SMR) families. qRT-PCR, performed at 1/2, 1/4 and 1/8 MIC of linezolid, confirmed the RNA-seq results, showing that 8/9 (88.88%) of the efflux pump genes were upregulated at 1/8 MIC of linezolid, indicating that this concentration is optimal for studying efflux pump activity. These findings not only identify 1/8 MIC as optimum concentration for efflux pump studies after linezolid exposure, they also highlight the significant role of efflux pumps in linezolid resistance, providing potential targets for further research on efflux pumps in clinical isolates of M. tuberculosis.",Mycobacterium tuberculosis[organism] AND RNA-seq
GSE86426,"A germline mutation in human Oxidation Resistance 1 gene causes developmental delay, epilepsy and cerebellar atrophy",Homo sapiens,6,2025/02/18,False,Expression profiling by high throughput sequencing,"Purpose: The Oxidation Resistance 1 gene (OXR1) confers neuroprotection against oxidative stress. Oxr1 deficiency in mice resulted in cerebellar neurodegeneration. Genetic causes account for the most proportion of neurodegenerative disorders (early) onset in children. However, the pathological consequence of Oxr1 deficiency in human remains unclear. To assess the effect of OXR1 on the whole transcriptome during neuronal differentiation, we conducted RNA-sequencing of iPS cells, neural aggregates and neurons derivated from OXR1 deficient patient fibroblast and compared with healthy control. Methods: The iPS cells (iPSC) were generated from fibroblast cells of health control (WT) and OXR1 deficient patient (OX), and induced 2 days to form neural aggregate (NA) following to be differentiated into neuron cells in day 20. Total RNA was pooled from triplicate samples in each group and performed RNA sequencing on an Illumina HiSeq2500 platform. The sequence reads that passed quality filters were analyzed at gene level. The GOseq program was used to generate gene ontology (GO) annotation of differentially expressed genes (DEGs). The pathway enrichments were identified by KEGG Pathway Enrichment Analysis. qRT–PCR validation was performed using SYBR Green assays. Results:Totally 1595 DEGs were identified at neuron stage due to Oxr1 disruption, 874 DEGs at iPSC stage and 388 DEGs at NA stage. Among them, there are 61 DEGs commonly regulated by Oxr1 throughout all of the three stages . Further gene oncology (GO) analysis of biological process showed there was a significant enrichment for DEGs related to cell adhesion and extracellular matrix organization (ECM), cell development, cell differentiation, organ development caused by Oxr1 deficiency throughout all developmental stages. Especially neurogenesis and differentiation, axonogensis and guidance, brain and nerves system development were among the top of 50 items when entering neuron stage. In addition, a set of DEGs was significantly enriched in positive regulation of intrinsic apoptotic signaling pathway and regulation of cellular response to stress. Conclusions: Oxr1 regulates transcriptional networks required for modulating oxidative stress, apoptosis and neurogenesis during neuronal differentiation of iPS cells.",malnutrition AND child AND transcriptome
GSE288937,V. cholerae transcriptome of WT and dusB deletion mutants in MH with no treatment or after 10min with 2mM H2O2,Vibrio cholerae O1 biovar El Tor str. N16961,12,2025/02/11,False,Expression profiling by high throughput sequencing,We study gene expression levels of V. cholerae N16961 hapR+ corrected strain in exponential phase before and after lethal hydrogen peroxide treatment,Vibrio cholerae[organism]
GSE275800,V. cholerae transcriptome of WT and vchM deletion mutant with sub-MIC tobramycin,Vibrio cholerae,12,2025/02/03,False,Expression profiling by high throughput sequencing,We study gene expression levels of V. cholerae N16961 hapR+ corrected strain in exponential phase with tobramycin.,Vibrio cholerae[organism]
GSE288025,RAD51 family factors remodel the NHEJ system to modulate stress-induced biosynthesis of diterpenoid phytoalexins in rice.,Oryza sativa,18,2025/01/30,False,Expression profiling by high throughput sequencing,"Double-strand break (DSB) damage are primarily repaired via homologous recombination (HR) and non-homologous end joining (NHEJ) in Eukaryotes. We reveals that HR subcomplex RAD51A1-RAD51C in rice (Oryza sativa L.) inhibits classic NHEJ pathway while acts as a transcriptional mediator underlying alternative NHEJ signaling. RAD51C hijacks the KU70 at DSBs, facilitated by its partner RAD51A1 or TOP6B responding environmental cues (pathogens and 4℃). Consequently, the enhanced alternative NHEJ signaling generates the phosphorylated SOG1, which activates the regulatory network in diterpenoid phytoalexin biosynthesis and a group of enzyme genes in phenylpropanoid pathway. Intriguingly, SOG1-BRCA1-RAD51 associates with RAD51C-RAD51D-XRCC3 to form a transcription pre-initiation complex in this process. Phenotypically, chemical disease resistance and 4℃-conditioned stomatal closure are compromised in single mutants (atm-3, sog1, and rad51c-1), double mutants (rad51a1 rad51a2 and rad51d xrcc3). In summary, HR pathway integrates classic and alternative NHEJ pathways to orchestrate stress-activated specific metabolism in rice. Hierarchical collaboration of global DSB-repair machinerys enable plant adaptability to DSB-related environmental stresses.",Oryza sativa[organism] AND stress
