accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE231603,Nf1 Deficiency Increases Mammary Collagen Deposition and Restricts Adipocyte Differentiation Before Tumor Formation,Rattus norvegicus,80,2023/05/08,False,Expression profiling by high throughput sequencing,"BACKGROUND: The NF1 tumor suppressor gene is the main negative regulator of the RAS pathway and is frequently mutated in various cancers. Women with Neurofibromatosis Type I (NF1) – a tumor predisposition syndrome caused by a germline NF1 mutation – have an increased risk of developing aggressive breast cancer with poorer prognosis. The mechanisms by which NF1 mutation leads to breast cancer tumorigenesis are not well understood. Therefore, the objective of this work was to identify stromal alterations before tumor formation that result in the increased risk and poorer outcome seen among NF1 patients with breast cancer. METHODS: To accurately model the germline monoallelic NF1 mutations in NF1 patients, we utilized an Nf1-deficient rat model with accelerated mammary development and develops highly penetrant breast cancer. RESULTS: We identified increased collagen content in Nf1-deficient rat mammary glands before tumor formation that correlated with age of tumor onset. Additionally, gene expression analysis revealed that Nf1-deficient rat mammary mature adipocytes have increased collagen expression and shifted to a fibroblast and preadipocyte expression profile. This alteration in lineage commitment was also observed with in vitro differentiation but flow cytometry analysis did not show a change mammary adipose-derived mesenchymal stem cell abundance. CONCLUSION: Collectively, these studies uncovered the previously undescribed role of Nf1 in mammary collagen deposition and regulating adipocyte differentiation. In addition to unraveling the mechanism of tumor formation, further investigation of adipocytes and collagen modifications in preneoplastic mammary gland will create a foundation for developing early detection strategies of breast cancer among NF1 patients.",neurofibromatosis AND transcriptome
GSE220963,p53 dimers elicit unique tumor suppressive activities through an altered metabolic program [RNA-seq],Mus musculus,42,2023/03/01,False,Expression profiling by high throughput sequencing,"Cancer-related alterations of the p53 Tetramerization Domain (TD) abrogate wild-type (WT) p53 function. They result in a protein that preferentially forms monomers or dimers. These are also normal p53 states under basal cellular conditions. However, their physiological relevance is not well understood. We have established in vivo models for monomeric and dimeric p53 which model Li-Fraumeni Syndrome patients with germline p53 TD alterations. p53 monomers are inactive forms of the protein. Unexpectedly, p53 dimers conferred some tumor suppression that is not mediated by canonical WT p53 activities. p53 dimers upregulate the PPAR pathway. These activities are associated with lower prevalence of thymic lymphomas and inhibition of CD8+ T-cell accumulation. Lymphomas derived from dimeric p53 mice show cooperating alterations in the PPAR pathway, further implicating a role for these activities in tumor suppression. Our data reveal novel functions for p53 dimers and support the exploration of PPAR agonists as therapies.",Li-Fraumeni syndrome AND RNA-seq
GSE213626,mTORC1 upregulates B7-H3/CD276 to inhibit antitumor T cells and drive tumor immune evasion [RNA-seq],Mus musculus,15,2023/02/08,False,Expression profiling by high throughput sequencing,"Immune checkpoints are often expressed on tumor cells; it remains a prevailing need to identify the mechanisms underlying their regulation and therapeutic benefit. The immune checkpoint molecule B7-H3 is upregulated in many human tumors, including those with high mechanistic/mammalian target of rapamycin complex (mTORC1) activity. Still, its role in tumor immunity and the impact of B7-H3-targeted therapy on the tumor immune microenvironment are largely uncharacterized in mTORC1-hyperactive tumors. Here, we used a syngeneic murine model of tuberous sclerosis complex (TSC), a model of mTORC1 hyperactivity, to assess the mechanisms by which B7-H3 remodels the tumor microenvironment. We performed gene expression profiling analysis using data generated from RNA-seq of bulk tumors from subcutaneous B7-H3 knockdown and control TSC2-deficient 105K cells or sorted tumor cells isolated by MACS mouse tumor cell isolation kit (Miltenyi Biotec).",tuberous sclerosis AND gene expression
GSE118511,GBA1 regulates the CLEAR network through Calcineurin and TFEB in cellular models of Parkinson´s disease,Homo sapiens,12,2022/12/31,False,Expression profiling by high throughput sequencing,"The GBA1 gene encodes the lysosomal enzyme acid-β-glucocerebrosidase (GCase). GBA1 mutations cause the lysosomal storage disorder Gaucher disease (GD) and are a genetic risk factor for Parkinson´s disease (PD). Many GBA1 mutations cause aberrant GCase folding and processing but how these impinge on PD pathogenesis remains unclear. We addressed GCase functions in human dopaminergic (DA) neurons derived from engineered GBA1-deficient (GBA1-/-) embryonic stem cells (hESCs) and GBA1N370S PD patient-derived induced pluripotent cells (hiPSCs). GBA1-mutant DA neurons displayed aberrant morphologies and gene expression that were rescued by recombinant GCase treatment. GBA1-/- neurons have hyperactive Calcineurin (CaN) and nuclear localization of the Transcription Factor EB (TFEB). Expression of TFEB targets and lysosomal CLEAR network components were increased in GBA1-/- DA neurons and rescued by GCase replacement and CaN inhibition. Our findings reveal a link between increased CaN activity and loss of GCase, providing a mechanism for the disturbed lysosomal/autophagy pathways in GBA1-associated PD.",Gaucher disease AND gene expression
GSE213715,"Integrating transcriptome, proteome, and phosphoproteome analysis reveals loss function of IQGAP2 promotes cell proliferation through the mTOR pathway",Homo sapiens,6,2022/09/22,False,Expression profiling by high throughput sequencing,"Tuberous sclerosis complex (TSC) is a rare genetic disease caused by abnormal of TSC1 or TSC2 gene. Our previous data deduced that IQGAP2 can be one of the genes potentially responsible for non-TSC1 or TSC2 mutation TSC patients. To investigate the pathogenesis of IQGAP2 in TSC, we performed global transcriptome, proteome, and phosphoproteome analyses and found the alter of genes related to mTOR signaling pathway in IQGAP2 knockdown cells. In addition, we found that knockdown of IQGAP2 resulted in increased cell proliferation and enhanced the phosphorylation level of AKT and S6K by functional analysis, meanwhile, the AKT and mTOR inhibitors can partially rescue cell abnormal proliferation by decreasing hyperphosphorylation. Our data revealed a potential connection between mTOR signaling pathway and aberrant cell proliferation in IQGAP2 knockdown cells, and provide a new latent therapeutic strategy for non-TSC1 or TSC2 mutation patients.",tuberous sclerosis AND gene expression
GSE205754,Bulk RNA-seq analysis of gene expression changes at 72 hpf induced by miR-34a loss,Danio rerio,6,2022/06/14,False,Expression profiling by high throughput sequencing,"Li-Fraumeni syndrome (LFS) is a disorder due to inherited mutations in the TP53 gene resulting in an increased risk of developing several types of cancer. MicroRNA miR-34a has been implicated downstream of p53 on the basis of being a direct transcriptional target and, when over-expressed, having pro-apoptotic phenotypes in cell lines. Moreover, miR-34a has been shown to be a modifier gene in the context of LFS, since its epigenetic silencing increases the likelihood of tumour development in patients with mutant TP53. However, the in vivo consequences of miR-34 loss are still unclear. For example, mice lacking all three (a,b,c) miR-34 homologs show no detectable abnormalities in p53 responses. The relative expression of different miR-34 genes in zebrafish was studied using qRT-PCR with specific assays. The miR-34a, miR-34b and miR-34c display unique onset of developmental expression and expression levels, with miR-34a being the most abundant and constant in expression. All of the miR-34 genes also showed clear induction by p53 when DNA-damaging treatments are performed. Using CRISPR-Cas9 technology, we generated a zebrafish miR-34a deletion mutant to further investigate the roles of miR-34a on its own and its association with the p53 pathway. Predictably, a miR-34a deletion mutant demonstrated absence of miR-34a, though without miR-34b and miR-34c compensation beyond baseline expression levels. Mutants survive to adulthood, show no overt phenotypes and have normal apoptotic responses to DNA-damaging irradiation or camptothecin treatments. To further explore the effects of miR-34a, we performed gene expression profiling using RNA-seq of wild-type and miR-34a deletion mutant zebrafish embryos at 72 hpf. We wanted to explore how miR-34a loss affects differentiated organs in larval zebrafish. This resulted in 389 genes UP and 374 genes DOWN at 1.5-fold change and FDR < 0.05. There was no significant enrichment of predicted miR-34a target genes among the differentially regulated genes but some interesting biological trends were found and will be described in the paper associated with this dataset.",Li-Fraumeni syndrome AND RNA-seq
GSE205752,Bulk RNA-seq analysis of gene expression changes at 8 hpf induced by miR-34a loss,Danio rerio,8,2022/06/14,False,Expression profiling by high throughput sequencing,"Li-Fraumeni syndrome (LFS) is a disorder due to inherited mutations in the TP53 gene resulting in an increased risk of developing several types of cancer. MicroRNA miR-34a has been implicated downstream of p53 on the basis of being a direct transcriptional target and, when over-expressed, having pro-apoptotic phenotypes in cell lines. Moreover, miR-34a has been shown to be a modifier gene in the context of LFS, since its epigenetic silencing increases the likelihood of tumour development in patients with mutant TP53. However, the in vivo consequences of miR-34 loss are still unclear. For example, mice lacking all three (a,b,c) miR-34 homologs show no detectable abnormalities in p53 responses. The relative expression of different miR-34 genes in zebrafish was studied using qRT-PCR with specific assays. The miR-34a, miR-34b and miR-34c display unique onset of developmental expression and expression levels, with miR-34a being the most abundant and constant in expression. All of the miR-34 genes also showed clear induction by p53 when DNA-damaging treatments are performed. Using CRISPR-Cas9 technology, we generated a zebrafish miR-34a deletion mutant to further investigate the roles of miR-34a on its own and its association with the p53 pathway. Predictably, a miR-34a deletion mutant demonstrated absence of miR-34a, though without miR-34b and miR-34c compensation beyond baseline expression levels. Mutants survive to adulthood, show no overt phenotypes and have normal apoptotic responses to DNA-damaging irradiation or camptothecin treatments. To further explore the effects of miR-34a, we performed gene expression profiling using RNA-seq of wild-type and miR-34a deletion mutant zebrafish embryos at 8 hpf. This experiment was motivated by a previous report knock-down of miR-34a in zebrafish leads to dramatic increases in expression of miR-34a target genes. We therefore expected that this experiment will help define the set of miR-34a target genes. The results of this RNA-seq experiment showed that the loss of miR-34a led to large transcriptomic effects at 8 hpf (1573 genes UP and 1679 genes DOWN at 1.5-fold change and FDR < 0.05). There was no significant enrichment of predicted miR-34a target genes among the differentially regulated genes but some interesting biological trends were found and will be described in the paper associated with this dataset.",Li-Fraumeni syndrome AND RNA-seq
GSE180338,Treatment of Novel Patient-Derived Xenograft and Cell Line Models with PI3K/AKT/mTOR Inhibitors Revealed Treatment Response Heterogeneity in NF2-Associated Schwannoma,Homo sapiens,9,2022/04/04,False,Expression profiling by high throughput sequencing,"Treatment of multiple intracranial schwannomas in patient with neurofibromatosis type 2 (NF2) is extremely unsatisfactory and innovative therapeutic approaches are urgently needed. The lack of clinically relevant NF2 models has severely hampered drug discovery in this rare disease. Here, we report for the first time the establishment and characterization of patient-derived xenograft (PDX) and cell line models of NF2-associated schwannoma, which retain the gene mutations and transcriptome profile, and recapitulate the morphological and histopathological features with the patient tumors, retain patient NF2 mutations, and maintain gene expression profiles resembling the patient tumor profiles with the preservation of multiple key signaling pathways commonly dysregulated in human schwannoma. Using expression profiling, we found that the PI3K/AKT/mTOR networks are elevated in NF2-associated vestibular schwannomas, as well as in PDX models.",neurofibromatosis AND transcriptome
GSE171474,Gene expression analysis of hiPSC-derived renal angiomyolipoma organoids,Homo sapiens,9,2021/09/10,False,Expression profiling by high throughput sequencing,"Angiomyolipomas (AMLs) are the most common renal manifestation in patients with Tuberous Sclerosis Complex. The recapitulation of AMLs experimentally has remained a challenge, precluding the study of tumor mechanisms. Here we used Next-Generation Sequencing to analyze the transcriptomes of renal organoids derived from TSC2-/-, TSC2+/- or TSC2+/+ human induced pluripotent stem cells (hiPSCs) derived from a patient diagnosed with Tuberous Sclerosis Complex. Organoids derived from TSC2-/- hiPSCs but not from isogenic TSC2+/- or TSC2+/+ hiPSCs shared a common transcriptional signature and a myomelanocytic cell phenotype with kidney AMLs.",tuberous sclerosis AND gene expression
GSE175733,Large-scale Chemical Screen Identifies a Geroprotective Role of Gallic Acid in Premature Aging [RNA-seq],Homo sapiens,12,2021/06/25,False,Expression profiling by high throughput sequencing,"Gallic acid (GA) is a natural phenolic compound with antioxidant, anti-inflammatory, and antineoplastic  properties. Previous studies also revealed that GA supplementation inhibit the decline of rat embryonic and rejuvenate the immune function in D-gal-induced aging accelerated mice. However, the role of GA in regulating senescence of human premature aging stem cells is unknown. We have demonstrated that GA showed beneficial effects in alleviating human mesenchyme stem cell(hMSC) senescence: (1) GA alleviated senescence by promoting stem cell self-renewal ability and down-regulating the expression of aging markers, including P16 and P21, in Werner syndrome(WS) hMSCs; (2) High levels of reactive oxygen species in total cell as well as mitochondria were both rescued by GA treatment; (3) GA also maintained epigenetic features, enhanced cell stemness, and improved mitochondrial homeostasis in WS hMSCs. Our data provide substantial evidence supporting that GA is a promising candidate agent to",Werner syndrome AND RNA-seq
GSE148249,Cdkn2a loss in a model of neurofibroma demonstrates stepwise tumor progression to atypical neurofibroma and MPNST,Mus musculus,20,2020/12/23,False,Expression profiling by high throughput sequencing,"Plexiform neurofibromas (PN) are benign nerve sheath Schwann cell tumors, common in patients with neurofibromatosis type 1 (NF1), that are characterized by biallelic mutations in the NF1 tumor suppressor gene. Atypical neurofibromas (ANF) show additional frequent loss of CDKN2A/Ink4a/Arf and may be precursor lesions of aggressive malignant peripheral nerve sheath tumors (MPNST). We combined loss of Nf1 in developing",neurofibromatosis AND transcriptome
GSE157987,Brain pathology and cerebellar Purkinje cell loss in a mouse model of chronic neuronopathic Gaucher disease [whole brain],Mus musculus,17,2020/11/08,False,Expression profiling by high throughput sequencing,"Gaucher disease (GD) is currently the focus of considerable attention due primarily to the association between the gene that causes GD (GBA) and Parkinson’s disease. Mouse models exist for the systemic (type 1) and for the acute neuronopathic forms (type 2) of GD. Here we report the generation of a mouse that phenotypically models chronic neuronopathic type 3 GD. Gba-/-;Gbatg mice, which contain a Gba transgene regulated by doxycycline, accumulate moderate levels of the offending substrate in GD, glucosylceramide, and live for up to 10 months, i.e. significantly longer than mice which model type 2 GD. Gba-/-;Gbatg mice display behavioral abnormalities at ~4 months, which deteriorate with age, along with significant neuropathology including loss of Purkinje neurons. Gene expression is altered in the brain and in isolated microglia, although the changes in gene expression are less extensive than in mice modeling type 2 disease. Finally, bone deformities are consistent with the Gba-/-;Gbatg mice being a genuine type 3 GD model. Together, the Gba-/-;Gbatg mice share pathological pathways with acute neuronopathic GD mice but also display differences that might help understand the distinct disease course and progression of type 2 and 3 patients.",Gaucher disease AND gene expression
GSE157991,Brain pathology and cerebellar Purkinje cell loss in a mouse model of chronic neuronopathic Gaucher disease [microglia],Mus musculus,18,2020/11/08,False,Expression profiling by high throughput sequencing,"Gaucher disease (GD) is currently the focus of considerable attention due primarily to the association between the gene that causes GD (GBA) and Parkinson’s disease. Mouse models exist for the systemic (type 1) and for the acute neuronopathic forms (type 2) of GD. Here we report the generation of a mouse that phenotypically models chronic neuronopathic type 3 GD. Gba-/-;Gbatg mice, which contain a Gba transgene regulated by doxycycline, accumulate moderate levels of the offending substrate in GD, glucosylceramide, and live for up to 10 months, i.e. significantly longer than mice which model type 2 GD. Gba-/-;Gbatg mice display behavioral abnormalities at ~4 months, which deteriorate with age, along with significant neuropathology including loss of Purkinje neurons. Gene expression is altered in the brain and in isolated microglia, although the changes in gene expression are less extensive than in mice modeling type 2 disease. Finally, bone deformities are consistent with the Gba-/-;Gbatg mice being a genuine type 3 GD model. Together, the Gba-/-;Gbatg mice share pathological pathways with acute neuronopathic GD mice but also display differences that might help understand the distinct disease course and progression of type 2 and 3 patients.",Gaucher disease AND gene expression
