query,accession,title,organism,n_samples,date,has_pub,type,platform,summary
Parkinson's disease AND control AND GPL10558,GSE53424,Gene expression data from human fibroblasts and induced Pluripotent Stem cells from Parkinson's Disease patients,Homo sapiens,5.0,2013/12/18,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) from parkinson's disease patients, using retrovirus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation to dopaminergic neuronal clutures and downstream functional assays."
Parkinson's disease AND control AND GPL10558,GSE46798,Gene expression of A53T and corrected IPSC driven to DA neurons and exposed to paraquat and maneb,Homo sapiens,12.0,2013/12/05,True,Expression profiling by array,10558,"parkinson disease (pd) is characterized by extensive loss of a9 dopaminergic (da) neurons in the substantia nigra pars compacta (snpc). a strong association has been reported between pd and exposure to mitochondrial toxins such as the environmental pesticides paraquat, maneb, and rotenone. here, using a robust, patient-derived, stem cell model of pd that allows comparison of -synuclein ( -syn) mutant cells and isogeneic mutation-corrected controls, we identify mitochondrial toxin-induced perturbations specific to a53t -syn mutant a9-da neurons (hns). we report a novel molecular pathway whereby basal as well as toxin-induced oxidative and nitrosative stress inhibits the mef2c-pgc1 transcription network in a53t hns compared to corrected controls, contributing to mitochondrial dysfunction and apoptotic cell death. our data provide mechanistic insight into gene-environmental interaction (gxe) in the pathogenesis of pd. furthermore, using small molecule high-throughput screening, we identify the mef2c-pgc1 pathway as a new drug target for therapeutic benefit in pd."
Parkinson's disease AND control AND GPL10558,GSE32658,Midbrain floor plate dopamine neurons from human ESCs efficiently engraft in murine and primate models of PD,Homo sapiens,72.0,2011/11/07,True,Expression profiling by array,10558,"human pluripotent stem cells (hpscs) are a promising source of cells for applications in regenerative medicine. directed differentiation of hpscs into specialized cells such as spinal motoneurons or midbrain dopamine (da) neurons has been achieved. however the effective use of hpscs for cell therapy has lagged far behind. while mouse psc-derived da neurons have shown efficacy in models of parkinson’s disease, da neurons derived from human pscs generally display poor in vivo performance. there are also considerable safety concerns for hpscs related to their potential for teratoma formation or neural overgrowth. here we present a novel floor plate-based strategy for the derivation of human da neurons that efficiently engraft, suggesting that past failures were due to incomplete specification rather than a specific vulnerability of the cells. midbrain floor plate precursors are derived from hpscs in days following exposure to small molecule activators of sonic hedgehog (shh) and canonical wnt signaling. engraftable midbrain da neurons are obtained by day 25 and can be maintained in vitro for several months. extensive in vitro molecular profiling, biochemical and electrophysiological data define developmental progression and confirm identity of hpsc-derived midbrain da neurons. in vivo survival and function is demonstrated in pd animal models in three host species. long-term engraftment in 6-ohda-lesioned mouse and rats demonstrates robust survival of midbrain da neurons, complete restoration of amphetamine-induced rotation behavior and improvements in tests of forelimb use and akinesia. finally, scalability is demonstrated by transplantation into parkinsonian monkeys. excellent da neuron survival, function and lack of neural overgrowth in the three animal models tested indicate considerable promise for the development of cell based therapies in pd."
Parkinson's disease AND control AND GPL6947,GSE57475,Association between alpha-synuclein blood transcripts and early Parkinson's disease,Homo sapiens,142.0,2015/06/01,True,Expression profiling by array,6947,"importance. biological markers of parkinson’s disease are essential for achieving disease modification. objective. to determine the association of snca blood transcript levels with prevalence of parkinson’s disease. background. the snca locus is preferentially transcribed in neurons and blood cells. non-coding genetic variants and neuronal aggregates of α-synuclein protein associate this locus with sporadic parkinson’s disease and suggest a potential role for abnormal snca transcription in the disease mechanism. here we investigated variation in intracellular snca gene expression and snca transcript isoform abundance in circulating blood cells of cases with pd and controls in a network of biobanks that represent regional, national, and international populations. design, setting, participants. three cross-sectional, case-control studies nested in observational biomarker studies. 222 cases with early-stage clinical pd and 183 controls were enrolled from 2005 to 2010 in the harvard biomarker study (hbs) at two harvard-affiliated tertiary care centers. 76 cases with dopamine transporter imaging (dat)-confirmed pd and 42 controls were enrolled between august 2007 and december 2008 in the blood α-synuclein, gene expression and smell testing as diagnostic and prognostic biomarkers in parkinson’s disease study (probe) study from 22 us tertiary care centers. 202 dat-confirmed cases with de novo pd and 138 controls were enrolled in the parkinson’s progression markers initiative (ppmi) between july 2010 and november 2012 from 22 us and international tertiary care centers. main outcome measures. association of intracellular snca transcript abundance with pd estimated on analog and digital expression platforms. results. reduced levels of snca transcripts were associated with early-stage clinical pd, neuroimaging-confirmed pd, and untreated, neuroimaging-confirmed pd in accessible, peripheral blood cells from a total of 863 individuals. snca expression was reduced by 17%, 22%, and 16% in cases compared to controls in the hbs, probe, and ppmi study with p values of 0.004, 0.025, and 0.018, respectively, after adjusting for clinical, hematological, and processing covariates. specific snca transcripts with long 3’ untranslated regions (utr) and those skipping exon 5 are implicated in the accumulation and mitochondrial targeting of α-synuclein protein in parkinson’s pathology. these transcript isoforms were linked to pd through digital expression analysis. individuals in the lowest quartile of snca expression values had covariate-adjusted odds ratios for pd of 2.14 (95% c. i. 1.1-4.1), 4.5 (95% c. i. 1.3-15), and 2.1 (1.1-4.0) compared to individuals in the highest quartile of expression values in the hbs, probe, and ppmi study, respectively. conclusions and relevance. reduced levels of snca expression, particularly of disease-relevant transcripts with extended 3’ utr or exon 5 skipping, are associated with early-stage pd. these findings support a potential role for snca as a transcriptional marker of pd and may have implications for patient stratification and risk assessment."
Parkinson's disease AND control AND GPL6947,GSE33434,The transcription factor nurr1 exerts concentration-dependent effects on target genes mediating distinct biological processes,Homo sapiens,9.0,2012/01/01,True,Expression profiling by array,6947,"the transcription factor nurr1 plays a pivotal role in the development and maintenance of neurotransmitter phenotype in midbrain dopamine neurons. conversely, decreased nurr1 expression is associated with a number of dopamine-related cns disorders, including parkinson’s disease and drug addiction. in order to better understand the nature of nurr1-responsive genes and their potential roles in dopamine neuron differentiation and survival, we used a neural cellular background in which to generate a number of stable clonal lines with graded nurr1 gene expression that approximated that seen in da cell-rich human substantia nigra. gene expression profiling data from these nurr1-expressing clonal lines were validated by quantitative rt-pcr and subjected to bioinformatic analyses. the present study identified a large number of nurr1-responsive genes and demonstrated the potential importance of concentration-dependent nurr1 effects in the differential regulation of distinct nurr1 target genes and biological pathways. these data support the promise of nurr1-based cns therapeutics for the neuroprotection and/or functional restoration of da neurons."
Parkinson's disease AND control AND GPL6947,GSE20186,Systematic meta-analysis and replication of genome-wide expression studies of Parkinson's disease,Homo sapiens,69.0,2011/02/03,True,Expression profiling by array,96;6947,this superseries is composed of the subseries listed below.
Parkinson's disease AND control AND GPL6947,GSE20159,Systematic meta-analysis and replication of genome-wide expression studies of Parkinson's disease: 1,Homo sapiens,33.0,2011/01/20,True,Expression profiling by array,6947,"systematic meta-analysis and replication of genome-wide expression studies identifies molecular pathways of parkinson’s disease. snap-frozen human substantia nigras (sns) of 16 individuals with a clinicopathological diagnosis of incidental lewy body (ilb) disease with lewy bodies detected in the brainstem nuclei of locus coeruleus and substantia nigra, but generally not in higher cortical regions consistent with braak stage 3 criteria for parkinson's disease (pd), and 17 age-, sex-, postmortem interval-, and rna integrity number-matched controls, who were clinicopathologically within normal limits for age collected under the rapid-autopsy program of sun health research institute or by the harvard brain tissue resource center at mclean hospital, were used for gene expression analyses in stage 2. protocols were approved by the institutional review board of brigham and women’s hospital."
Parkinson's disease AND control AND GPL6947,GSE25580,Examination of impact of pathogenic mutations in LRRK2 upon gene expression in patient fibroblasts and HEK cells,Homo sapiens,56.0,2010/12/03,True,Expression profiling by array,6104;6947,analysis of global gene expression changes due to the induction of wt or mutant lrrk2 expression
Parkinson's disease AND substantia nigra AND GPL570,GSE49036,"Evidence for immune response, axonal dysfunction and reduced endocytosis preceding Lewy body pathology in the substantia nigra in Parkinson’s disease",Homo sapiens,28.0,2015/05/12,True,Expression profiling by array,570,"subjects with incidental lewy body disease (ilbd) may represent the premotor stage of parkinson’s disease (pd). to identify molecular mechanisms underlying neuronal dysfunction and alpha--synuclein pathology in the premotor phase of pd, we investigated the transcriptome of post-mortem substantia nigra (sn) of ilbd, pd donors and age-matched controls with braak alpha--synuclein stage ranging from 0-6. in braak alpha--synuclein stages 1 and 2, we observed deregulation of pathways linked to axonal degeneration, unfolded protein response (upr), immune response and endocytosis, including axonal guidance signaling, protein kinase a signaling, mtor signaling, eif2 signaling and clathrin-mediated endocytosis. in braak stages 3 and 4, we observed a deregulation in pathways involved in protein translation and cell survival, including mtor and eif2 signaling. in braak stages 5 and 6, we observed deregulation of pathways such as dopaminergic signaling, axonal guidance signaling and thrombin signaling. throughout the progression of pd pathology, we observed a deregulation of mtor, eif2 and regulation of eif4 and p70s6k signaling in the sn. this implicates that molecular mechanisms related to upr, axonal dysfunction, endocytosis and immune response are an early event in pd pathology, and may hold the key to altering the disease progression in pd."
Parkinson's disease AND substantia nigra AND GPL570,GSE20141,Expression analysis of laser-dissected SNpc neurons in Parkinson's disease,Homo sapiens,18.0,2010/02/04,True,Expression profiling by array,570,genome-wide transcriptome analysis of expression changes in laser-dissected snpc neurons from parkinson's disease brain tissue versus control brain tissue.
Parkinson's disease AND substantia nigra AND GPL570,GSE7621,Expression data of substantia nigra from postmortem human brain of Parkinson's disease patients (PD),Homo sapiens,25.0,2007/06/14,True,Expression profiling by array,570,we used microarrays to detail the global program of gene expression underlying parkinson's disease keywords: normal versus diseased
Parkinson's disease AND substantia nigra AND GPL570,GDS2821,Parkinson's disease: substantia nigra,Homo sapiens,25.0,2007/06/14,True,Expression profiling by array,570,"analysis of substantia nigrae from postmortem brains of patients with parkinson’s disease (pd). neurons in the substantia nigra, which produces dopamine, degenerate in pd. results provide insight into the molecular pathogenesis of pd."
Parkinson's disease AND substantia nigra AND GPL570,GSE7307,Human body index - transcriptional profiling,Homo sapiens,677.0,2007/04/09,False,Expression profiling by array,570,"normal and diseased human tissues were profiled for gene expression using the affymetrix u133 plus 2.0 array in total 677 samples were processed , representing over 90 distinct tissue types some tissue samples were purchased from stratagene (sg), ambion (ab), and becton-dickinson (bd) keywords: human body index of gene expression"
Parkinson's disease AND substantia nigra AND GPL570,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,Homo sapiens,176371.0,2003/11/07,False,,570,"affymetrix submissions are typically submitted to geo using the geoarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html june 03, 2009: annotation table updated with netaffx build 28 june 06, 2012: annotation table updated with netaffx build 32 june 23, 2016: annotation table updated with netaffx build 35 protocol: see manufacturer's web site complete coverage of the human genome u133 set plus 6,500 additional genes for analysis of over 47,000 transcripts all probe sets represented on the genechip human genome u133 set are identically replicated on the genechip human genome u133 plus 2.0 array. the sequences from which these probe sets were derived were selected from genbank®, dbest, and refseq. the sequence clusters were created from the unigene database (build 133, april 20, 2001) and then refined by analysis and comparison with a number of other publicly available databases, including the washington university est trace repository and the university of california, santa cruz golden-path human genome database (april 2001 release). in addition, there are 9,921 new probe sets representing approximately 6,500 new genes. these gene sequences were selected from genbank, dbest, and refseq. sequence clusters were created from the unigene database (build 159, january 25, 2003) and refined by analysis and comparison with a number of other publicly available databases, including the washington university est trace repository and the ncbi human genome assembly (build 31)."
Parkinson's disease AND substantia nigra AND GPL570,GSM1192718,Braak α-synuclein stages 5-6 BR56_8SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192717,Braak α-synuclein stages 5-6 BR56_7SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192716,Braak α-synuclein stages 5-6 BR56_6SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192715,Braak α-synuclein stages 5-6 BR56_5SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192714,Braak α-synuclein stages 5-6 BR56_4SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192713,Braak α-synuclein stages 5-6 BR56_3SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192712,Braak α-synuclein stages 5-6 BR56_2SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192711,Braak α-synuclein stages 5-6 BR56_1SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192710,Braak α-synuclein 3-4 BR34_7SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192709,Braak α-synuclein 3-4 BR34_6SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192708,Braak α-synuclein 3-4 BR34_5SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192707,Braak α-synuclein 3-4 BR34_4SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192706,Braak α-synuclein 3-4 BR34_3SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192705,Braak α-synuclein 3-4 BR34_2SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM1192704,Braak α-synuclein 3-4 BR34_1SN,Homo sapiens,0.0,2015/05/12,False,,570,substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM503967,PD-5476-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503966,PD-5138-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503965,PD-3803p-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503964,PD-3790p-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503963,PD-3769p-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503962,PD-2525-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503961,PD-2515p-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503960,PD-1647-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503959,PD-1401-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM503958,PD-1364-SNc,Homo sapiens,0.0,2010/02/04,False,,570,substantia nigra pars compacta
Parkinson's disease AND substantia nigra AND GPL570,GSM184378,Substantia nigra PD rep16,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184377,Substantia nigra PD rep15,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184376,Substantia nigra PD rep14,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184375,Substantia nigra PD rep13,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184374,Substantia nigra PD rep12,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184373,Substantia nigra PD rep11,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184372,Substantia nigra PD rep10,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184371,Substantia nigra PD rep9,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184370,Substantia nigra PD rep8,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184369,Substantia nigra PD rep7,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184368,Substantia nigra PD rep6,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184367,Substantia nigra PD rep5,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184366,Substantia nigra PD rep4,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184365,Substantia nigra PD rep3,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184364,Substantia nigra PD rep2,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM184363,Substantia nigra PD rep1,Homo sapiens,0.0,2007/06/14,False,,570,postmortem human substantia nigra
Parkinson's disease AND substantia nigra AND GPL570,GSM176457,Substantia Nigra Reticulata 3 Disease,Homo sapiens,0.0,2007/04/09,False,,570,male/female; normal/diseased
Parkinson's disease AND substantia nigra AND GPL570,GSM176406,Substantia Nigra Reticulata 2 Disease,Homo sapiens,0.0,2007/04/09,False,,570,male/female; normal/diseased
Parkinson's disease AND substantia nigra AND GPL570,GSM176405,Substantia Nigra Pars Compacta 3 Disease,Homo sapiens,0.0,2007/04/09,False,,570,male/female; normal/diseased
Parkinson's disease AND blood AND GPL570,GSE30335,Genomic Signatures for Pesticide Exposure in Latino Farmworkers,Homo sapiens,40.0,2019/12/31,False,Expression profiling by array,570,"we tested the hypothesis that differential gene expression in whole blood will reveal candidate blood biomarkers for exposure to agricultural pesticides and herbicides. blood gene expression in male latino farmworkers, where chronic pesticide exposure is occupational, was compared to blood gene expression in age and gender matched latino manual workers. we identified an expression signature for farmwork, differential expression in genes that correlated with levels of urinary pesticide metabolites, alterations in axonal guidance pathways and statistical models that link farmworker differential expression to parkinson's disease."
Parkinson's disease AND blood AND GPL570,GSE95427,Expression profiling of H4 cells expressing a Myc tagged aSyn construct,Homo sapiens,8.0,2017/07/31,False,Expression profiling by array,570,"the aim of the present study was to identify and confirm gene expression differences in control h4 cells and wt asyn expressing h4 cells, one of the cell-based models of parkinson`s disease. dna microarray gene expression was performed in two samples of control h4 cells and in two samples expressing wt asyn, along with bioinformatics analysis of retrieved data."
Parkinson's disease AND blood AND GPL570,GSE99039,A blood-based gene signature characterizing Idiopathic Parkinson's disease,Homo sapiens,558.0,2017/05/20,True,Expression profiling by array,570,"establishing reliable biomarkers for assessing and validating clinical diagnosis at early prodromal stages of parkinson’s disease is crucial for developing therapies to slow or halt disease progression. here, we present the largest study to date using whole blood gene expression profiling from over 500 individuals to identify an 87-gene blood-based signature. our gene signature effectively differentiates between idiopathic pd patients and controls in both a validation cohort and an independent test cohort, and further highlights mitochondrial metabolism and ubiquitination/proteasomal degradation as potential pathways disrupted in parkinson’s disease."
Parkinson's disease AND blood AND GPL570,GSE29773,Gene Expression Data for Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,12.0,2011/07/26,True,Expression profiling by array,13695,"patient-specific induced pluripotent stem cells (ipscs) derived from somatic cells provide a unique tool for the study of human disease in disease relevant cells, as well as a promising source for cell replacement therapies for degenerative diseases. however one of the crucial limitations before realizing the full promise of this “disease in a dish” approach has been the inability to do controlled experiments under genetically defined conditions. this is particularly relevant for disorders with long latency periods, such as parkinson’s disease (pd), where in vitro phenotypes of patient-derived ipscs are predicted to be subtle and susceptible to significant epistatic effects of genetic background variations. by combining zinc-finger nuclease (zfn)-mediated genome editing and ipsc technology we provide a generally applicable solution to this key problem by generating isogenic pairs of disease and control human embryonic stem cells (hescs) and hipscs lines that differ exclusively at a susceptibility variant for pd by modifying a single point mutation (a53t) in the α-synuclein gene. the robust capability to genetically correct disease causing point mutations in patient-derived hipscs represents not only a significant progress for basic biomedical research but also a major advancement towards hipsc-based cell replacement therapies using autologous cells."
Parkinson's disease AND blood AND GPL570,GSE24598,The human nose harbours a niche of olfactory ecto-mesenchymal stem cells displaying neurogenic and osteogenic properties,Homo sapiens,29.0,2010/10/08,True,Expression profiling by array,96;570,"we previously identified multipotent stem cells within the lamina propria of the human olfactory mucosa, located in the nasal cavity. we also demonstrated that this cell type differentiates into neural cells and improves locomotor behavior after transplantation in a rat model of parkinson’s disease. yet, next to nothing is known about their specific stemness characteristics. we therefore devised a study aiming to compare olfactory lamina propria stem cells from 4 individuals to bone marrow mesenchymal stem cells from 4 age- and gendermatched individuals. using pangenomic microarrays and immunostaining with 34 cell surface marker antibodies, we show here that olfactory stem cells are closely related to bone marrow stem cells. however, olfactory stem cells exhibit also singular traits. by means of techniques such as proliferation assay, cdna microarrays, rt-pcr, in vitro and in vivo differentiation, we report that, when compared to bone marrow stem cells, olfactory stem cells display i) a high proliferation rate; ii) a propensity to differentiate into osseous cells and iii) a disinclination to give rise to chondrocytes and adipocytes. since peripheral olfactory stem cells originate from a neural crest-derived tissue and, as shown here, exhibit an increased expression of neural cellrelated genes, we propose to name them olfactory ecto-mesenchymal stem cells (oe-msc). further studies are now required to corroborate the therapeutic potential of oe-mscs in animal models of bone and brain diseases. keywords: cell type comparison"
